,ack,acn,ada,adh,ald,atp-synth,biomass,csn,cytbd,eda,edd,ex-P,ex-ace,ex-co2,ex-etoh,ex-for,ex-h2o,ex-lac,ex-o2,ex-suc,fbp,frd,fum,gap,gdh,glh,gln,glt,icd,icl,kgd,ldh,mas,mdh,me,nad-thd,nadh-dh,pdh,pfk,pfl,pgd,pgh,pgi,pgk,pgm,ppc,ppck,pta,pts,pyk,rpe,rpi,scs,sdh,tal,tim,tkt1,tkt2,zwf
144,0.3398289692803456,0.0213788406161346,0.0,0.0,0.2675382170406437,1.0,0.0189193279836854,0.0213788406161346,0.66281973664823,0.0,0.0,0.0230815801416475,0.3398289692803456,0.3721810201254664,0.0,0.0,-0.0502875737913403,0.0,0.331409868324115,0.0,0.0,0.0,0.0,0.5350764340812874,0.0,0.0285681852638975,0.1880581201842064,0.1356515816562111,0.0213788406161346,0.0,0.0,0.0,0.0,0.0,0.0,-0.3131148781571427,0.66281973664823,0.3791811714926169,0.2675382170406437,0.0,0.0285681852638975,0.5350764340812874,0.2597812925665569,0.5350764340812874,0.5350764340812874,0.0569471772316687,0.0,0.3398289692803456,0.2892954442335173,0.1491032238581188,0.0077569244740867,0.0208112607898108,0.0,0.0,0.0077569244740867,0.2675382170406437,0.0077569244740867,0.0,0.0285681852638975
145,0.3389774782136212,0.0185763603420037,0.0,0.0,0.254315304955383,1.0,0.0164392569440015,0.0185763603420037,0.663324017754495,0.0,0.0,0.0200558934730299,0.3389774782136212,0.3670886075952779,0.0,0.0,0.0,0.0,0.3316620088839876,0.0,0.0,0.0,0.0,0.5086306098972859,-0.2184777248053274,0.0248232779928565,0.3818839388516195,0.3363471971052769,0.0185763603420037,0.0,0.0,0.0,0.0,0.0,0.0,-0.2720697024468166,0.663324017754495,0.3731711326625365,0.254315304955383,0.0,0.0248232779928565,0.5086306098972859,0.2475752096076683,0.5086306098972859,0.5086306098972859,0.0494821634021187,0.0,0.3389774782136212,0.2732204504376148,0.1514055564684088,0.0067400953477146,0.0180831826451418,0.0,0.0,0.0067400953477146,0.254315304955383,0.0067400953477146,0.0,0.0248232779928565
146,0.3392416681055082,0.0194458784992705,0.0,0.0,0.2584179429788642,1.0,0.0172087420391233,0.0194458784992705,0.6631675557757356,0.0,0.0,0.0209946652891416,0.3392416681055082,0.3686686169860593,0.0,0.0,-0.0156025927849607,0.0,0.3315837778949234,0.0,0.0,0.0,0.0,0.5168358859577284,0.0,0.0259852004868374,0.1710548958928755,0.1233866804325092,0.0194458784992705,0.0,0.0,0.0,0.0,-0.1506912178097184,0.1506912178097184,-0.1341134629765795,0.6631675557757356,0.3750358515384183,0.2584179429788642,0.0,0.0259852004868374,0.5168358859577284,0.2513623587421181,0.5168358859577284,0.5168358859577284,0.2024895313481854,0.0,0.3392416681055082,0.2782079963203283,0.0,0.0070555842367461,0.0189296162500913,0.0,0.0,0.0070555842367461,0.2584179429788642,0.0070555842367461,0.0,0.0259852004868374
147,0.0,0.0114378258007516,0.0,0.0,0.4992492872431306,0.0030872007703455,0.0101219697357364,0.0114378258007516,0.0,0.0,0.0,0.0123488030783792,0.0,0.0218128447801067,0.0,0.0,-0.2042107394110513,0.8955412723315237,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0197884508311577,0.1006123791702777,0.0725745230025579,0.0114378258007516,0.0,0.0,0.8955412723315237,0.0,0.0,0.0,-0.1585100460549668,0.0,0.0210536970492508,0.4992492872431306,0.0,0.0197884508311577,1.0,0.4920964286299169,1.0,1.0,0.0304671289040563,0.0,0.0,0.5123909779513148,0.4358857567016844,0.0071528586132137,0.0126355922209468,0.0,0.0,0.0056514331024778,0.4992492872431306,0.0056514331024778,0.0015014255107358,0.0197884508311577
148,0.0,0.0098728758025883,0.0,0.0,0.4993520015131282,0.002664802761839,0.0087370582328607,0.0098728758025883,0.0,0.0,0.0,0.010659211044764,0.0,0.018828360491465,0.0,0.0,-0.1762701498415511,0.9098335590406093,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0170809488433377,0.086846358832096,0.0626447075273049,0.0098728758025883,0.0,0.0,0.9098335590406093,0.0,-0.1368223319208456,0.1368223319208456,0.0,0.0,0.0181730811234173,0.4993520015131282,0.0,0.0170809488433377,1.0,0.4931778136952745,1.0,1.0,0.1631208772013159,0.0,0.0,0.5106956154532362,0.3078356850582547,0.0061741878178537,0.0109067610280759,0.0,0.0,0.0048781908467022,0.4993520015131282,0.0048781908467022,0.0012959969711515,0.0170809488433377
149,0.3389774782136212,0.0185763603420037,0.0,0.0,0.254315304955383,1.0,0.0164392569440015,0.0185763603420037,0.663324017754495,0.0,0.0,0.0200558934730299,0.3389774782136212,0.3670886075952779,0.0,0.0,0.0,0.0,0.3316620088839876,0.0,0.0,0.0,0.0,0.5086306098972859,-0.0670721683369185,0.0248232779928565,0.2304783823832106,0.1849416406368681,0.0185763603420037,0.0,0.0,0.0,0.0,-0.1514055564684088,0.1514055564684088,-0.1206641459784078,0.663324017754495,0.3731711326625365,0.254315304955383,0.0,0.0248232779928565,0.5086306098972859,0.2475752096076683,0.5086306098972859,0.5086306098972859,0.2008877198705276,0.0,0.3389774782136212,0.2732204504376148,0.0,0.0067400953477146,0.0180831826451418,0.0,0.0,0.0067400953477146,0.254315304955383,0.0067400953477146,0.0,0.0248232779928565
150,0.3389774782136212,0.0185763603420037,0.0,0.0,0.254315304955383,1.0,0.0164392569440015,0.0185763603420037,0.663324017754495,0.0,0.0,0.0200558934730299,0.3389774782136212,0.3670886075952779,0.0,0.0,0.0,0.0,0.3316620088839876,0.0,0.2184777248053274,0.0,0.0,0.5086306098972859,0.0,0.0248232779928565,0.1634062140462921,0.1178694722999495,0.0185763603420037,0.0,0.0,0.0,0.0,0.0,0.0,-0.2720697024468166,0.663324017754495,0.3731711326625365,0.4727930297607104,0.0,0.0248232779928565,0.5086306098972859,0.2475752096076683,0.5086306098972859,0.5086306098972859,0.0494821634021187,0.0,0.3389774782136212,0.2732204504376148,0.1514055564684088,0.0067400953477146,0.0180831826451418,0.0,0.0,0.0067400953477146,0.254315304955383,0.0067400953477146,0.0,0.0248232779928565
151,0.3389774782136212,0.0185763603420037,0.0,0.0,0.254315304955383,1.0,0.0164392569440015,0.0185763603420037,0.663324017754495,0.0,0.0,0.0200558934730299,0.3389774782136212,0.3670886075952779,0.0,0.0,0.0,0.0,0.3316620088839876,0.0,0.0670721683369185,0.0,0.0,0.5086306098972859,0.0,0.0248232779928565,0.1634062140462921,0.1178694722999495,0.0185763603420037,0.0,0.0,0.0,0.0,-0.1514055564684088,0.1514055564684088,-0.1206641459784078,0.663324017754495,0.3731711326625365,0.3213874732923016,0.0,0.0248232779928565,0.5086306098972859,0.2475752096076683,0.5086306098972859,0.5086306098972859,0.2008877198705276,0.0,0.3389774782136212,0.2732204504376148,0.0,0.0067400953477146,0.0180831826451418,0.0,0.0,0.0067400953477146,0.254315304955383,0.0067400953477146,0.0,0.0248232779928565
152,0.3389774782136212,0.0185763603420037,0.0,0.0,0.254315304955383,1.0,0.0164392569440015,0.0185763603420037,0.663324017754495,0.0,0.0,0.0200558934730299,0.3389774782136212,0.3670886075952779,0.0,0.0,0.0,0.0,0.3316620088839876,0.0,0.0,0.0,0.0,0.5086306098972859,0.0,0.0248232779928565,0.1634062140462921,0.1178694722999495,0.0185763603420037,0.0,0.0,0.0,0.0,0.0,0.0,-0.2720697024468166,0.663324017754495,0.3731711326625365,0.254315304955383,0.0,0.0248232779928565,0.5086306098972859,0.2475752096076683,0.5086306098972859,0.5086306098972859,0.2679598882074462,0.2184777248053274,0.3389774782136212,0.2732204504376148,0.1514055564684088,0.0067400953477146,0.0180831826451418,0.0,0.0,0.0067400953477146,0.254315304955383,0.0067400953477146,0.0,0.0248232779928565
153,0.3389774782136212,0.0185763603420037,0.0,0.0,0.254315304955383,1.0,0.0164392569440015,0.0185763603420037,0.663324017754495,0.0,0.0,0.0200558934730299,0.3389774782136212,0.3670886075952779,0.0,0.0,0.0,0.0,0.3316620088839876,0.0,0.0,0.0,0.0,0.5086306098972859,0.0,0.0248232779928565,0.1634062140462921,0.1178694722999495,0.0185763603420037,0.0,0.0,0.0,0.0,-0.1514055564684088,0.1514055564684088,-0.1206641459784078,0.663324017754495,0.3731711326625365,0.254315304955383,0.0,0.0248232779928565,0.5086306098972859,0.2475752096076683,0.5086306098972859,0.5086306098972859,0.2679598882074462,0.0670721683369185,0.3389774782136212,0.2732204504376148,0.0,0.0067400953477146,0.0180831826451418,0.0,0.0,0.0067400953477146,0.254315304955383,0.0067400953477146,0.0,0.0248232779928565
